,session,image_name,image_id
0,utokyo_1,c0fd2fb7-0853-4610-928b-1ae8bbffc650.png,1
1,utokyo_1,7d1913da-6aab-47fd-8d57-3a2c77cd1d01.png,2
2,utokyo_1,912dcd37-6893-4204-9634-580a35b10b8a.png,3
3,utokyo_1,7190b132-6be1-4230-b49d-543c43b49f9a.png,4
4,utokyo_1,256c0bbe-3d90-4ce5-8cb7-ab8b901c6db2.png,5
5,utokyo_1,cdfd2e0b-ccf1-406e-b4ce-5b3e3b4cc453.png,6
6,utokyo_1,4a39e46a-473e-440f-8528-d9bf9f03acc1.png,7
7,utokyo_1,547f4920-f676-4e21-b999-14dc43f39240.png,8
8,utokyo_1,1a51814e-994f-40b0-bb46-696c661f32b1.png,9
9,utokyo_1,b8d036d5-d64b-4d26-9d22-85aa0ef88484.png,10
10,utokyo_1,04993aad-4c61-4993-930b-5ce80836e790.png,11
11,utokyo_1,58a32377-3728-42ac-94c8-7c5e1c7b3176.png,12
12,utokyo_1,6fdaf7d5-4355-4328-b4da-ca841bd108a5.png,13
13,utokyo_1,30863713-e33e-4216-a31d-c8154a2f467c.png,14
14,utokyo_1,817ce695-19ba-4f22-baf9-17a0593bd7ba.png,15
15,utokyo_1,7b98a273-2f68-4149-a85e-14172a0dc918.png,16
16,utokyo_1,71202f2a-c2c6-43af-8e28-b9ca1201ebbf.png,17
17,utokyo_1,3d1cd089-6948-4594-a796-466390058984.png,18
18,utokyo_1,3a112672-2f32-4cb5-a8fe-5ec5a5ea0e94.png,19
19,utokyo_1,80a56bc5-5adf-4169-8e8e-4a1dcb0e8cb8.png,22
20,utokyo_1,14a4a8c8-5ea4-4b0a-a4ae-a580f5c19728.png,25
21,utokyo_1,54303f31-8961-4919-8227-c590737e333d.png,26
22,utokyo_1,200f4c87-6660-4772-8721-143bc2525d49.png,27
23,utokyo_1,e1513adc-4f29-4c51-b545-309020959d61.png,28
24,utokyo_1,92a8e17a-a3ac-495a-b770-6d278605ac79.png,29
25,utokyo_1,a1f1311f-4ebd-47b4-9c0c-4439de2917e3.png,34
26,utokyo_1,35293286-6f6c-4786-a3cb-7d38f4778e63.png,35
27,utokyo_1,3833c04f-1c14-448a-b774-55e17275442b.png,36
28,utokyo_1,304effda-c6f7-4ad8-a2b6-b8da197aebcf.png,38
29,utokyo_1,288aca56-8a51-4625-816a-c0898e215233.png,40
